"476,954,3,724,498,367,232,611"
"471,961,4,725,498,370,232,607"
"474,957,5,726,497,366,233,610"
"477,955,5,724,495,365,234,611"
"476,956,5,725,496,366,230,611"
"475,961,5,723,502,365,229,616"
"475,959,0,726,497,367,235,611"
"471,953,5,730,498,366,232,619"
"472,953,5,726,496,369,232,611"
"474,955,5,724,498,367,231,608"
"475,953,4,723,500,367,232,610"
"464,953,5,724,493,367,234,611"
"479,956,7,723,499,367,234,615"
"477,960,5,724,497,368,233,607"
"477,955,5,723,496,368,235,610"
"482,956,3,726,497,366,234,609"
"474,952,11,722,495,368,233,609"
"475,951,5,720,501,366,235,609"
"476,950,22,721,496,363,246,611"
"479,956,4,721,496,368,234,612"
"479,976,3,722,496,362,235,610"
"476,956,11,712,496,366,233,608"
"476,947,5,723,496,368,233,614"
"478,949,5,718,498,368,236,610"
"478,954,4,728,496,370,231,615"
"484,953,4,722,499,368,234,610"
"477,954,5,728,493,367,237,609"
"481,944,5,722,497,368,234,616"
"479,948,5,722,494,368,234,613"
"487,953,4,720,495,362,234,611"
"477,953,5,723,496,367,233,607"
"476,950,3,723,494,367,234,609"
"478,946,5,720,493,368,235,612"
"480,949,44,721,493,367,230,612"
"481,947,6,719,497,368,233,610"
"480,949,2,723,495,368,235,608"
"481,951,4,724,490,373,238,610"
"481,949,5,720,499,369,234,621"
"481,951,5,723,499,371,234,610"
"479,950,1,721,493,368,231,610"
"479,947,3,722,493,370,234,610"
"482,953,4,719,493,369,234,610"
"480,946,5,719,492,367,234,605"
"480,947,5,718,493,368,235,609"
"477,948,5,718,494,368,240,607"
"480,950,1,717,491,368,235,613"
"473,946,5,717,491,367,234,607"
"479,947,3,719,494,370,236,606"
"481,952,4,715,492,370,234,609"
"486,945,5,717,489,370,233,608"
"476,949,5,719,490,369,234,611"
"480,946,5,721,492,367,234,608"
"482,945,5,726,492,370,235,610"
"483,947,4,718,491,371,233,608"
"483,950,4,722,495,371,236,608"
"478,949,3,718,493,370,228,606"
"500,947,2,717,490,370,234,609"
"482,949,8,717,492,366,232,611"
"482,944,4,721,490,372,233,609"
"483,944,5,715,491,372,235,611"
"482,948,3,717,490,372,235,610"
"483,944,4,717,491,372,235,611"
"481,946,5,715,491,379,235,612"
"486,972,5,708,498,372,235,611"
"486,948,5,719,490,375,244,610"
"485,946,8,718,498,373,234,610"
"485,946,3,717,491,374,238,612"
"485,947,5,717,492,374,235,610"
"485,942,5,714,492,374,236,611"
