MQ135,MQ3,MQ6,MQ9,MQ5,MQ8,MQ4,Stage
0.0,0.0,7.0,153.0,159.0,0.0,0.0,Cleaning
5.0,0.0,1.0,152.0,157.0,2.0,0.0,Cleaning
0.0,1.0,5.0,154.0,157.0,0.0,0.0,Cleaning
2.0,0.0,0.0,154.0,153.0,1.0,4.0,Cleaning
8.0,0.0,0.0,153.0,153.0,0.0,0.0,Cleaning
0.0,1.0,5.0,155.0,166.0,0.0,4.0,Cleaning
4.0,0.0,1.0,153.0,159.0,0.0,2.0,Cleaning
3.0,0.0,0.0,155.0,161.0,0.0,2.0,Cleaning
0.0,1.0,0.0,146.0,158.0,0.0,2.0,Cleaning
1.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
1.0,0.0,0.0,153.0,176.0,0.0,0.0,Cleaning
0.0,7.0,1.0,153.0,181.0,0.0,1.0,Cleaning
0.0,1.0,0.0,153.0,155.0,0.0,2.0,Cleaning
1.0,0.0,1.0,173.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,150.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,150.0,157.0,0.0,1.0,Cleaning
0.0,1.0,0.0,153.0,158.0,0.0,0.0,Cleaning
0.0,1.0,0.0,152.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,156.0,157.0,27.0,0.0,Cleaning
0.0,1.0,0.0,154.0,158.0,0.0,0.0,Cleaning
2.0,0.0,0.0,152.0,158.0,1.0,0.0,Cleaning
0.0,2.0,0.0,154.0,158.0,2.0,0.0,Cleaning
4.0,2.0,0.0,155.0,157.0,0.0,3.0,Cleaning
1.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
6.0,0.0,11.0,158.0,158.0,0.0,2.0,Cleaning
10.0,1.0,2.0,157.0,161.0,0.0,0.0,Cleaning
0.0,3.0,0.0,153.0,158.0,0.0,1.0,Cleaning
0.0,0.0,0.0,152.0,158.0,0.0,0.0,Cleaning
0.0,0.0,10.0,153.0,159.0,0.0,0.0,Cleaning
3.0,0.0,1.0,152.0,158.0,15.0,2.0,Cleaning
1.0,0.0,0.0,153.0,156.0,0.0,23.0,Cleaning
1.0,1.0,0.0,154.0,157.0,2.0,0.0,Cleaning
2.0,1.0,0.0,155.0,158.0,1.0,0.0,Cleaning
0.0,0.0,2.0,155.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,150.0,157.0,0.0,1.0,Cleaning
3.0,0.0,2.0,153.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,152.0,155.0,6.0,0.0,Cleaning
0.0,0.0,0.0,151.0,159.0,0.0,0.0,Cleaning
0.0,0.0,1.0,153.0,159.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
2.0,1.0,0.0,153.0,160.0,0.0,19.0,Cleaning
0.0,1.0,15.0,161.0,179.0,0.0,0.0,Cleaning
1.0,2.0,0.0,154.0,156.0,0.0,0.0,Cleaning
1.0,0.0,0.0,155.0,150.0,1.0,0.0,Cleaning
0.0,0.0,0.0,154.0,155.0,0.0,0.0,Cleaning
1.0,2.0,1.0,154.0,158.0,0.0,0.0,Cleaning
0.0,2.0,0.0,146.0,159.0,0.0,0.0,Cleaning
1.0,0.0,0.0,152.0,158.0,0.0,1.0,Cleaning
0.0,0.0,0.0,156.0,158.0,3.0,0.0,Cleaning
2.0,0.0,0.0,154.0,146.0,0.0,31.0,Cleaning
0.0,0.0,12.0,156.0,158.0,2.0,0.0,Cleaning
1.0,0.0,0.0,149.0,158.0,1.0,0.0,Cleaning
1.0,0.0,7.0,156.0,157.0,0.0,0.0,Cleaning
0.0,1.0,3.0,156.0,157.0,0.0,1.0,Cleaning
1.0,0.0,0.0,154.0,159.0,9.0,1.0,Cleaning
0.0,0.0,0.0,153.0,159.0,0.0,0.0,Cleaning
0.0,2.0,0.0,153.0,163.0,2.0,0.0,Cleaning
1.0,3.0,0.0,153.0,158.0,0.0,24.0,Cleaning
1.0,2.0,0.0,154.0,159.0,0.0,0.0,Cleaning
0.0,0.0,2.0,153.0,158.0,1.0,0.0,Cleaning
0.0,0.0,4.0,154.0,158.0,0.0,0.0,Cleaning
2.0,0.0,0.0,154.0,157.0,0.0,0.0,Cleaning
0.0,0.0,0.0,155.0,158.0,1.0,5.0,Cleaning
1.0,0.0,0.0,154.0,181.0,0.0,0.0,Cleaning
0.0,0.0,0.0,171.0,158.0,0.0,0.0,Cleaning
0.0,0.0,0.0,154.0,158.0,0.0,0.0,Cleaning
1.0,1.0,0.0,154.0,157.0,1.0,0.0,Cleaning
1.0,1.0,0.0,153.0,151.0,0.0,0.0,Cleaning
2.0,0.0,1.0,155.0,157.0,0.0,0.0,Cleaning
2.0,4.0,0.0,153.0,160.0,5.0,0.0,Cleaning
0.0,1.0,6.0,153.0,162.0,1.0,14.0,Cleaning
1.0,0.0,0.0,153.0,158.0,0.0,0.0,Cleaning
9.0,2.0,0.0,153.0,156.0,0.0,0.0,Cleaning
2.0,11.0,0.0,152.0,157.0,1.0,0.0,Cleaning
0.0,1.0,5.0,153.0,163.0,0.0,0.0,Cleaning
0.0,2.0,0.0,153.0,158.0,0.0,0.0,Cleaning
4.0,1.0,0.0,152.0,157.0,0.0,5.0,Cleaning
3.0,0.0,0.0,150.0,159.0,0.0,0.0,Cleaning
1.0,1.0,3.0,153.0,159.0,0.0,36.0,Cleaning
0.0,1.0,0.0,155.0,155.0,0.0,0.0,Cleaning
0.0,0.0,0.0,174.0,157.0,1.0,3.0,Cleaning
8.0,1.0,1.0,154.0,158.0,0.0,0.0,Cleaning
1.0,2.0,0.0,172.0,157.0,0.0,4.0,Cleaning
0.0,1.0,0.0,155.0,158.0,0.0,3.0,Cleaning
